origin_x,origin_y,height,aspect,slope,label
440412.263551824,4397435.55850229,"[20094, 20081, 20074, 20100, 20082, 20077, 20106, 20092, 20082]","[76.56181, 75.96375, 75.34325, 69.676865, 64.98311, 64.798874, 60.32151, 56.592175, 58.24052]","[4.153133, 2.9503465, 2.4045198, 4.117101, 3.5519948, 2.6892483, 3.8274574, 4.0257497, 3.5332677]",7
440412.76180391863,4397434.691470082,"[20094, 20081, 20074, 20100, 20082, 20077, 20106, 20092, 20082]","[76.56181, 75.96375, 75.34325, 69.676865, 64.98311, 64.798874, 60.32151, 56.592175, 58.24052]","[4.153133, 2.9503465, 2.4045198, 4.117101, 3.5519948, 2.6892483, 3.8274574, 4.0257497, 3.5332677]",7
440413.26005601324,4397433.824437873,"[20100, 20082, 20077, 20106, 20092, 20082, 20110, 20103, 20087]","[69.676865, 64.98311, 64.798874, 60.32151, 56.592175, 58.24052, 58.650417, 59.782726, 59.215855]","[4.117101, 3.5519948, 2.6892483, 3.8274574, 4.0257497, 3.5332677, 3.6431215, 3.765672, 3.912104]",7
440413.7583081079,4397432.957405665,"[20100, 20082, 20077, 20106, 20092, 20082, 20110, 20103, 20087]","[69.676865, 64.98311, 64.798874, 60.32151, 56.592175, 58.24052, 58.650417, 59.782726, 59.215855]","[4.117101, 3.5519948, 2.6892483, 3.8274574, 4.0257497, 3.5332677, 3.6431215, 3.765672, 3.912104]",7
440414.2565602025,4397432.0903734565,"[20092, 20082, 20069, 20103, 20087, 20079, 20106, 20096, 20083]","[56.592175, 58.24052, 67.72973, 59.782726, 59.215855, 64.29005, 59.036243, 54.090275, 59.77455]","[4.0257497, 3.5332677, 4.0563273, 3.765672, 3.912104, 4.284403, 3.3371108, 3.8407562, 4.7551284]",7
440414.7548122971,4397431.223341249,"[20092, 20082, 20069, 20103, 20087, 20079, 20106, 20096, 20083]","[56.592175, 58.24052, 67.72973, 59.782726, 59.215855, 64.29005, 59.036243, 54.090275, 59.77455]","[4.0257497, 3.5332677, 4.0563273, 3.765672, 3.912104, 4.284403, 3.3371108, 3.8407562, 4.7551284]",7
440415.2530643918,4397430.35630904,"[20092, 20082, 20069, 20103, 20087, 20079, 20106, 20096, 20083]","[56.592175, 58.24052, 67.72973, 59.782726, 59.215855, 64.29005, 59.036243, 54.090275, 59.77455]","[4.0257497, 3.5332677, 4.0563273, 3.765672, 3.912104, 4.284403, 3.3371108, 3.8407562, 4.7551284]",7
440415.7513164864,4397429.489276832,"[20103, 20087, 20079, 20106, 20096, 20083, 20113, 20105, 20096]","[59.782726, 59.215855, 64.29005, 59.036243, 54.090275, 59.77455, 59.036243, 55.954063, 65.772255]","[3.765672, 3.912104, 4.284403, 3.3371108, 3.8407562, 4.7551284, 2.9207456, 3.1948082, 4.7016478]",7
440416.249568581,4397428.6222446235,"[20087, 20079, 20061, 20096, 20083, 20066, 20105, 20096, 20076]","[59.215855, 64.29005, 56.103832, 54.090275, 59.77455, 66.28641, 55.954063, 65.772255, 77.93223]","[3.912104, 4.284403, 5.505151, 3.8407562, 4.7551284, 4.1775885, 3.1948082, 4.7016478, 5.294648]",7
440416.74782067566,4397427.755212415,"[20096, 20083, 20066, 20105, 20096, 20076, 20109, 20098, 20077]","[54.090275, 59.77455, 66.28641, 55.954063, 65.772255, 77.93223, 83.33334, 87.03906, 86.59356]","[3.8407562, 4.7551284, 4.1775885, 3.1948082, 4.7016478, 5.294648, 2.773961, 4.1522126, 6.004625]",7
440417.2460727703,4397426.888180207,"[20096, 20083, 20066, 20105, 20096, 20076, 20109, 20098, 20077]","[54.090275, 59.77455, 66.28641, 55.954063, 65.772255, 77.93223, 83.33334, 87.03906, 86.59356]","[3.8407562, 4.7551284, 4.1775885, 3.1948082, 4.7016478, 5.294648, 2.773961, 4.1522126, 6.004625]",7
440417.7443248649,4397426.021147999,"[20105, 20096, 20076, 20109, 20098, 20077, 20109, 20092, 20086]","[55.954063, 65.772255, 77.93223, 83.33334, 87.03906, 86.59356, 91.21887, 88.22853, 84.255844]","[3.1948082, 4.7016478, 5.294648, 2.773961, 4.1522126, 6.004625, 3.3630214, 3.4709651, 6.059713]",7
440418.24257695954,4397425.1541157905,"[20096, 20076, 20056, 20098, 20077, 20055, 20092, 20086, 20050]","[65.772255, 77.93223, 83.49104, 87.03906, 86.59356, 91.12331, 88.22853, 84.255844, 84.86745]","[4.7016478, 5.294648, 5.354642, 4.1522126, 6.004625, 5.4633436, 3.4709651, 6.059713, 5.982486]",7
440418.74082905415,4397424.287083582,"[20098, 20077, 20055, 20092, 20086, 20050, 20096, 20087, 20054]","[87.03906, 86.59356, 91.12331, 88.22853, 84.255844, 84.86745, 81.869896, 73.26401, 69.805664]","[4.1522126, 6.004625, 5.4633436, 3.4709651, 6.059713, 5.982486, 2.7831626, 5.331868, 6.6095605]",7
440419.23908114876,4397423.420051374,"[20098, 20077, 20055, 20092, 20086, 20050, 20096, 20087, 20054]","[87.03906, 86.59356, 91.12331, 88.22853, 84.255844, 84.86745, 81.869896, 73.26401, 69.805664]","[4.1522126, 6.004625, 5.4633436, 3.4709651, 6.059713, 5.982486, 2.7831626, 5.331868, 6.6095605]",7
440419.7373332434,4397422.553019166,"[20098, 20077, 20055, 20092, 20086, 20050, 20096, 20087, 20054]","[87.03906, 86.59356, 91.12331, 88.22853, 84.255844, 84.86745, 81.869896, 73.26401, 69.805664]","[4.1522126, 6.004625, 5.4633436, 3.4709651, 6.059713, 5.982486, 2.7831626, 5.331868, 6.6095605]",7
440420.235585338,4397421.6859869575,"[20086, 20050, 20043, 20087, 20054, 20045, 20091, 20079, 20044]","[84.255844, 84.86745, 75.815704, 73.26401, 69.805664, 77.1523, 78.69007, 82.04247, 91.016975]","[6.059713, 5.982486, 3.3573232, 5.331868, 6.6095605, 4.1797214, 3.8287895, 6.6947584, 6.030453]",7
440420.7338374327,4397420.818954749,"[20086, 20050, 20043, 20087, 20054, 20045, 20091, 20079, 20044]","[84.255844, 84.86745, 75.815704, 73.26401, 69.805664, 77.1523, 78.69007, 82.04247, 91.016975]","[6.059713, 5.982486, 3.3573232, 5.331868, 6.6095605, 4.1797214, 3.8287895, 6.6947584, 6.030453]",7
440421.2320895273,4397419.951922541,"[20087, 20054, 20045, 20091, 20079, 20044, 20090, 20068, 20040]","[73.26401, 69.805664, 77.1523, 78.69007, 82.04247, 91.016975, 104.25003, 108.43495, 103.636696]","[5.331868, 6.6095605, 4.1797214, 3.8287895, 6.6947584, 6.030453, 4.6450787, 7.2091208, 6.203067]",7
440421.7303416219,4397419.084890333,"[20087, 20054, 20045, 20091, 20079, 20044, 20090, 20068, 20040]","[73.26401, 69.805664, 77.1523, 78.69007, 82.04247, 91.016975, 104.25003, 108.43495, 103.636696]","[5.331868, 6.6095605, 4.1797214, 3.8287895, 6.6947584, 6.030453, 4.6450787, 7.2091208, 6.203067]",7
440422.2285937166,4397418.2178581245,"[20079, 20044, 20029, 20068, 20040, 20023, 20053, 20039, 20024]","[82.04247, 91.016975, 102.0023, 108.43495, 103.636696, 98.74616, 97.24187, 91.660286, 86.42367]","[6.6947584, 6.030453, 4.639328, 7.2091208, 6.203067, 4.699485, 6.5056033, 4.9316216, 4.582808]",7
440422.7268458112,4397417.350825916,"[20079, 20044, 20029, 20068, 20040, 20023, 20053, 20039, 20024]","[82.04247, 91.016975, 102.0023, 108.43495, 103.636696, 98.74616, 97.24187, 91.660286, 86.42367]","[6.6947584, 6.030453, 4.639328, 7.2091208, 6.203067, 4.699485, 6.5056033, 4.9316216, 4.582808]",7
440423.2250979058,4397416.483793708,"[20079, 20044, 20029, 20068, 20040, 20023, 20053, 20039, 20024]","[82.04247, 91.016975, 102.0023, 108.43495, 103.636696, 98.74616, 97.24187, 91.660286, 86.42367]","[6.6947584, 6.030453, 4.639328, 7.2091208, 6.203067, 4.699485, 6.5056033, 4.9316216, 4.582808]",7
440423.72335000045,4397415.616761499,"[20068, 20040, 20023, 20053, 20039, 20024, 20058, 20043, 20023]","[108.43495, 103.636696, 98.74616, 97.24187, 91.660286, 86.42367, 66.20282, 64.41148, 68.428696]","[7.2091208, 6.203067, 4.699485, 6.5056033, 4.9316216, 4.582808, 6.2758913, 5.619886, 4.9549947]",7
440424.22160209506,4397414.749729292,"[20040, 20023, 20008, 20039, 20024, 20006, 20043, 20023, 20013]","[103.636696, 98.74616, 86.63354, 91.660286, 86.42367, 77.125, 64.41148, 68.428696, 57.094757]","[6.203067, 4.699485, 3.653958, 4.9316216, 4.582808, 2.5696135, 5.619886, 4.9549947, 2.8979042]",7
440424.71985418967,4397413.882697083,"[20039, 20024, 20006, 20043, 20023, 20013, 20054, 20036, 20018]","[91.660286, 86.42367, 77.125, 64.41148, 68.428696, 57.094757, 35.417053, 42.978634, 60.03043]","[4.9316216, 4.582808, 2.5696135, 5.619886, 4.9549947, 2.8979042, 7.859686, 8.550587, 5.644834]",7
440425.21810628433,4397413.015664875,"[20039, 20024, 20006, 20043, 20023, 20013, 20054, 20036, 20018]","[91.660286, 86.42367, 77.125, 64.41148, 68.428696, 57.094757, 35.417053, 42.978634, 60.03043]","[4.9316216, 4.582808, 2.5696135, 5.619886, 4.9549947, 2.8979042, 7.859686, 8.550587, 5.644834]",7
440425.71635837894,4397412.148632666,"[20043, 20023, 20013, 20054, 20036, 20018, 20085, 20085, 20023]","[64.41148, 68.428696, 57.094757, 35.417053, 42.978634, 60.03043, 21.087683, 47.642544, 62.799362]","[5.619886, 4.9549947, 2.8979042, 7.859686, 8.550587, 5.644834, 5.851731, 9.789472, 10.002986]",7
440426.21461047354,4397411.281600458,"[20023, 20013, 20011, 20036, 20018, 20012, 20085, 20023, 20008]","[68.428696, 57.094757, 66.16126, 42.978634, 60.03043, 92.16108, 47.642544, 62.799362, 74.62375]","[4.9549947, 2.8979042, 3.3630214, 8.550587, 5.644834, 3.7929964, 9.789472, 10.002986, 5.9211106]",7
440426.7128625682,4397410.41456825,"[20023, 20013, 20011, 20036, 20018, 20012, 20085, 20023, 20008]","[68.428696, 57.094757, 66.16126, 42.978634, 60.03043, 92.16108, 47.642544, 62.799362, 74.62375]","[4.9549947, 2.8979042, 3.3630214, 8.550587, 5.644834, 3.7929964, 9.789472, 10.002986, 5.9211106]",7
440345.7157977066,4397553.863663638,"[20557, 20535, 20559, 20563, 20574, 20562, 20582, 20595, 20568]","[95.19443, 33.982887, 353.09644, 69.245926, 5.194428, 8.447527, 10.491476, 18.041168, 43.854237]","[12.833566, 5.810086, 7.991686, 7.237276, 5.5203147, 3.651514, 4.9045115, 6.561925, 5.0521574]",8
440346.21431525017,4397552.996784028,"[20535, 20559, 20538, 20574, 20562, 20582, 20595, 20568, 20561]","[33.982887, 353.09644, 15.9031105, 5.194428, 8.447527, 73.03385, 18.041168, 43.854237, 66.1135]","[5.810086, 7.991686, 6.6352386, 5.5203147, 3.651514, 4.409116, 6.561925, 5.0521574, 5.466357]",8
440346.71283279377,4397552.129904417,"[20574, 20562, 20582, 20595, 20568, 20561, 20621, 20589, 20583]","[5.194428, 8.447527, 73.03385, 18.041168, 43.854237, 66.1135, 39.852116, 47.770214, 37.715977]","[5.5203147, 3.651514, 4.409116, 6.561925, 5.0521574, 5.466357, 5.625965, 6.262001, 6.7587647]",8
440347.2113503373,4397551.263024807,"[20574, 20562, 20582, 20595, 20568, 20561, 20621, 20589, 20583]","[5.194428, 8.447527, 73.03385, 18.041168, 43.854237, 66.1135, 39.852116, 47.770214, 37.715977]","[5.5203147, 3.651514, 4.409116, 6.561925, 5.0521574, 5.466357, 5.625965, 6.262001, 6.7587647]",8
440347.70986788085,4397550.396145197,"[20574, 20562, 20582, 20595, 20568, 20561, 20621, 20589, 20583]","[5.194428, 8.447527, 73.03385, 18.041168, 43.854237, 66.1135, 39.852116, 47.770214, 37.715977]","[5.5203147, 3.651514, 4.409116, 6.561925, 5.0521574, 5.466357, 5.625965, 6.262001, 6.7587647]",8
440348.2083854244,4397549.529265586,"[20568, 20561, 20524, 20589, 20583, 20566, 20602, 20593, 20576]","[43.854237, 66.1135, 69.00128, 47.770214, 37.715977, 51.058987, 34.35938, 49.55742, 79.24903]","[5.0521574, 5.466357, 7.550713, 6.262001, 6.7587647, 9.040211, 8.440664, 6.976193, 8.573989]",8
440348.706902968,4397548.662385976,"[20568, 20561, 20524, 20589, 20583, 20566, 20602, 20593, 20576]","[43.854237, 66.1135, 69.00128, 47.770214, 37.715977, 51.058987, 34.35938, 49.55742, 79.24903]","[5.0521574, 5.466357, 7.550713, 6.262001, 6.7587647, 9.040211, 8.440664, 6.976193, 8.573989]",8
440349.20542051154,4397547.795506366,"[20589, 20583, 20566, 20602, 20593, 20576, 20640, 20621, 20566]","[47.770214, 37.715977, 51.058987, 34.35938, 49.55742, 79.24903, 54.651833, 64.67786, 81.46028]","[6.262001, 6.7587647, 9.040211, 8.440664, 6.976193, 8.573989, 7.508109, 8.067598, 11.189681]",8
440349.7039380551,4397546.928626755,"[20589, 20583, 20566, 20602, 20593, 20576, 20640, 20621, 20566]","[47.770214, 37.715977, 51.058987, 34.35938, 49.55742, 79.24903, 54.651833, 64.67786, 81.46028]","[6.262001, 6.7587647, 9.040211, 8.440664, 6.976193, 8.573989, 7.508109, 8.067598, 11.189681]",8
440350.2024555987,4397546.061747145,"[20593, 20576, 20539, 20621, 20566, 20541, 20624, 20591, 20525]","[49.55742, 79.24903, 89.39691, 64.67786, 81.46028, 93.26016, 121.363304, 109.85522, 110.80375]","[6.976193, 8.573989, 10.10043, 8.067598, 11.189681, 11.18979, 8.738504, 13.453509, 12.405575]",8
440350.70097314223,4397545.194867535,"[20593, 20576, 20539, 20621, 20566, 20541, 20624, 20591, 20525]","[49.55742, 79.24903, 89.39691, 64.67786, 81.46028, 93.26016, 121.363304, 109.85522, 110.80375]","[6.976193, 8.573989, 10.10043, 8.067598, 11.189681, 11.18979, 8.738504, 13.453509, 12.405575]",8
440351.1994906858,4397544.327987924,"[20621, 20566, 20541, 20624, 20591, 20525, 20586, 20537, 20504]","[64.67786, 81.46028, 93.26016, 121.363304, 109.85522, 110.80375, 122.434654, 104.03625, 97.93555]","[8.067598, 11.189681, 11.18979, 8.738504, 13.453509, 12.405575, 8.5489855, 11.648635, 11.7633915]",8
440351.6980082293,4397543.461108315,"[20621, 20566, 20541, 20624, 20591, 20525, 20586, 20537, 20504]","[64.67786, 81.46028, 93.26016, 121.363304, 109.85522, 110.80375, 122.434654, 104.03625, 97.93555]","[8.067598, 11.189681, 11.18979, 8.738504, 13.453509, 12.405575, 8.5489855, 11.648635, 11.7633915]",8
440352.1965257729,4397542.594228704,"[20566, 20541, 20492, 20591, 20525, 20497, 20537, 20504, 20470]","[81.46028, 93.26016, 95.0974, 109.85522, 110.80375, 121.22498, 104.03625, 97.93555, 109.39781]","[11.189681, 11.18979, 7.6126714, 13.453509, 12.405575, 8.029115, 11.648635, 11.7633915, 8.033469]",8
440352.69504331646,4397541.727349094,"[20591, 20525, 20497, 20537, 20504, 20470, 20581, 20516, 20479]","[109.85522, 110.80375, 121.22498, 104.03625, 97.93555, 109.39781, 81.998795, 81.73283, 77.607285]","[13.453509, 12.405575, 8.029115, 11.648635, 11.7633915, 8.033469, 8.931262, 12.499124, 8.121277]",8
