,0,1,2
0,3.69520396672897e-07,-1.4264475531870918e-06,0.12154125994092949
1,2.605794867713996e-07,-2.512769843772093e-06,0.12091681380853847
2,4.175596686170728e-07,-1.5173085080783868e-06,0.1211646303914816
3,4.714499014462297e-07,-2.3776219839681605e-06,0.12695150969167823
4,2.8831949630078765e-07,-2.0828365759854487e-06,0.12367971599663316
5,4.0463952253040014e-07,-1.243176196171251e-06,0.12000100785398558
6,4.5700491864302297e-07,-2.3344477980208095e-06,0.12382357355459447
7,4.345913295276222e-07,-1.905550719437285e-06,0.12092027930568705
8,2.518279834671241e-07,-1.1495450421062767e-06,0.12137634178190311
9,4.932117865860628e-07,-2.3020234652196056e-06,0.12359292758527009
10,4.075910128935325e-07,-1.4004895121111517e-06,0.11772317965557884
11,2.485003228021672e-07,-1.2810697371383771e-06,0.11935449146338087
12,3.213342185368225e-07,-1.4313002396492392e-06,0.12428880229251145
13,3.61065349539159e-08,-7.645236426545922e-07,0.11787889090242766
14,6.753673618108652e-07,-1.8696447250221569e-06,0.12067418301152202
15,4.7304558313214607e-07,-2.3698587409243232e-06,0.12303091022662407
16,1.5928984614615672e-07,-1.23829639284461e-06,0.12087882163084743
17,2.7308753151040925e-07,-1.4736135659611388e-06,0.11862201882102742
18,3.6920921913310295e-07,-8.277885976778038e-07,0.12089454189620875
19,3.889178805075643e-07,-1.4586019996097615e-06,0.12181680332973954
